episode,timestep,reward
1651,1652000,819.0
1653,1654000,817.75
1655,1656000,819.5
1657,1658000,818.75
1659,1660000,815.5
1661,1662000,814.0
1663,1664000,813.0
1665,1666000,816.5
1667,1668000,815.5
1669,1670000,818.75
1671,1672000,817.5
1673,1674000,817.75
1675,1676000,817.25
1677,1678000,818.5
1679,1680000,819.0
1681,1682000,818.75
1683,1684000,819.25
1685,1686000,814.5
1687,1688000,817.0
1689,1690000,817.75
1691,1692000,817.0
1693,1694000,818.5
1695,1696000,816.0
1697,1698000,815.0
1699,1700000,816.0
1701,1702000,819.5
1703,1704000,816.0
1705,1706000,816.5
1707,1708000,817.75
1709,1710000,816.75
1711,1712000,816.75
1713,1714000,815.5
1715,1716000,816.25
1717,1718000,812.5
1719,1720000,818.25
1721,1722000,816.0
1723,1724000,816.5
1725,1726000,817.5
1727,1728000,819.5
1729,1730000,818.75
1731,1732000,820.25
1733,1734000,819.5
1735,1736000,817.0
1737,1738000,817.75
1739,1740000,818.0
1741,1742000,816.5
1743,1744000,818.5
1745,1746000,819.25
1747,1748000,820.0
1749,1750000,819.5
1751,1752000,818.5
1753,1754000,821.5
1755,1756000,822.5
1757,1758000,818.5
1759,1760000,820.0
1761,1762000,821.5
1763,1764000,821.75
1765,1766000,819.0
1767,1768000,820.5
1769,1770000,820.5
1771,1772000,817.5
1773,1774000,822.0
1775,1776000,819.5
1777,1778000,821.0
1779,1780000,822.0
1781,1782000,820.5
1783,1784000,821.5
1785,1786000,817.5
1787,1788000,821.5
1789,1790000,821.5
1791,1792000,821.75
1793,1794000,821.5
1795,1796000,819.5
1797,1798000,820.5
1799,1800000,822.0
1801,1802000,820.0
1803,1804000,821.5
1805,1806000,821.5
1807,1808000,820.0
1809,1810000,820.0
1811,1812000,819.0
1813,1814000,819.5
1815,1816000,820.5
1817,1818000,821.0
1819,1820000,823.0
1821,1822000,824.0
1823,1824000,825.5
1825,1826000,823.0
1827,1828000,824.0
1829,1830000,823.0
1831,1832000,822.0
1833,1834000,825.0
1835,1836000,822.0
1837,1838000,823.0
1839,1840000,823.0
1841,1842000,821.5
1843,1844000,822.5
