,date,0,1,2
3621,2022-03-23 03:30:00,33.08443832397461,[-0.5875643],33.672000885009766
3622,2022-03-23 03:40:00,33.08443832397461,[-0.5875643],33.672000885009766
3623,2022-03-23 03:50:00,33.08443832397461,[-0.5875643],33.672000885009766
3624,2022-03-23 04:00:00,33.149635314941406,[-0.501367],33.6510009765625
3625,2022-03-23 04:10:00,33.149635314941406,[-0.501367],33.6510009765625
3626,2022-03-23 04:20:00,33.149635314941406,[-0.501367],33.6510009765625
3627,2022-03-23 04:30:00,33.149635314941406,[-0.501367],33.6510009765625
3628,2022-03-23 04:40:00,33.149635314941406,[-0.501367],33.6510009765625
3629,2022-03-23 04:50:00,33.149635314941406,[-0.501367],33.6510009765625
3630,2022-03-23 05:00:00,32.89322280883789,[-0.8397788],33.733001708984375
3631,2022-03-23 05:10:00,32.89322280883789,[-0.8397788],33.733001708984375
3632,2022-03-23 05:20:00,32.89322280883789,[-0.8397788],33.733001708984375
3633,2022-03-23 05:30:00,32.89322280883789,[-0.8397788],33.733001708984375
3634,2022-03-23 05:40:00,32.89322280883789,[-0.8397788],33.733001708984375
3635,2022-03-23 05:50:00,32.89322280883789,[-0.8397788],33.733001708984375
3636,2022-03-23 06:00:00,32.10828399658203,[-0.8197161],32.928001403808594
3637,2022-03-23 06:10:00,32.10828399658203,[-0.8197161],32.928001403808594
3638,2022-03-23 06:20:00,32.10828399658203,[-0.8197161],32.928001403808594
3639,2022-03-23 06:30:00,32.10828399658203,[-0.8197161],32.928001403808594
3640,2022-03-23 06:40:00,32.10828399658203,[-0.8197161],32.928001403808594
3641,2022-03-23 06:50:00,32.10828399658203,[-0.8197161],32.928001403808594
3642,2022-03-23 07:00:00,31.321182250976562,[-0.8128165],32.13399887084961
3643,2022-03-23 07:10:00,31.321182250976562,[-0.8128165],32.13399887084961
3644,2022-03-23 07:20:00,31.321182250976562,[-0.8128165],32.13399887084961
3645,2022-03-23 07:30:00,31.321182250976562,[-0.8128165],32.13399887084961
3646,2022-03-23 07:40:00,31.321182250976562,[-0.8128165],32.13399887084961
